CODGEO;DEP;LIBGEO;Zonage en vigueur;Reclassement
1001;1;L'Abergement-Clémenciat;C;Non
1002;1;L'Abergement-de-Varey;C;Non
1004;1;Ambérieu-en-Bugey;B1;Non
1005;1;Ambérieux-en-Dombes;C;Non
1006;1;Ambléon;C;Non
1007;1;Ambronay;C;Non
1008;1;Ambutrix;C;Non
1009;1;Andert-et-Condon;C;Non
1010;1;Anglefort;C;Non
1011;1;Apremont;C;Non
1012;1;Aranc;C;Non
1013;1;Arandas;C;Non
1014;1;Arbent;C;Non
1015;1;Arboys en Bugey;C;Non
1016;1;Arbigny;C;Non
1017;1;Argis;C;Non
1019;1;Armix;C;Non
1021;1;Ars-sur-Formans;B2;Non
1022;1;Artemare;C;Non
1023;1;Asnières-sur-Saône;C;Non
1024;1;Attignat;C;Non
1025;1;Bâgé-Dommartin;C;Non
1026;1;Bâgé-le-Châtel;C;Non
1027;1;Balan;B2;Non
1028;1;Baneins;C;Non
1029;1;Beaupont;C;Non
1030;1;Beauregard;B2;Non
1031;1;Bellignat;C;Non
1032;1;Béligneux;B2;Non
1033;1;Valserhône;B1;Non
1034;1;Belley;C;Non
1035;1;Belleydoux;C;Non
1036;1;Valromey-sur-Séran;C;Non
1037;1;Bénonces;C;Non
1038;1;Bény;C;Non
1040;1;Béréziat;C;Non
1041;1;Bettant;C;Non
1042;1;Bey;C;Non
1043;1;Beynost;B1;Non
1044;1;Billiat;C;Non
1045;1;Birieux;C;Non
1046;1;Biziat;C;Non
1047;1;Blyes;C;Non
1049;1;La Boisse;B1;Non
1050;1;Boissey;C;Non
1051;1;Bolozon;C;Non
1052;1;Bouligneux;C;Non
1053;1;Bourg-en-Bresse;B1;Non
1054;1;Bourg-Saint-Christophe;C;Non
1056;1;Boyeux-Saint-Jérôme;C;Non
1057;1;Boz;C;Non
1058;1;Brégnier-Cordon;C;Non
1060;1;Brénod;C;Non
1061;1;Brens;C;Non
1062;1;Bressolles;B2;Non
1063;1;Brion;C;Non
1064;1;Briord;C;Non
1065;1;Buellas;C;Non
1066;1;La Burbanche;C;Non
1067;1;Ceignes;C;Non
1068;1;Cerdon;C;Non
1069;1;Certines;C;Non
1071;1;Cessy;A;Non
1072;1;Ceyzériat;C;Non
1073;1;Ceyzérieu;C;Non
1074;1;Chalamont;C;Non
1075;1;Chaleins;C;Non
1076;1;Chaley;C;Non
1077;1;Challes-la-Montagne;C;Non
1078;1;Challex;A;Oui
1079;1;Champagne-en-Valromey;C;Non
1080;1;Champdor-Corcelles;C;Non
1081;1;Champfromier;C;Non
1082;1;Chanay;C;Non
1083;1;Chaneins;C;Non
1084;1;Chanoz-Châtenay;C;Non
1085;1;La Chapelle-du-Châtelard;C;Non
1087;1;Charix;C;Non
