CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
01001;01;L'Abergement-Clémenciat;C
01002;01;L'Abergement-de-Varey;C
01004;01;Ambérieu-en-Bugey;B1
01005;01;Ambérieux-en-Dombes;C
01006;01;Ambléon;C
01007;01;Ambronay;C
01008;01;Ambutrix;C
01009;01;Andert-et-Condon;C
01010;01;Anglefort;C
01011;01;Apremont;C
01012;01;Aranc;C
01013;01;Arandas;C
01014;01;Arbent;C
01015;01;Arboys en Bugey;C
01016;01;Arbigny;C
01017;01;Argis;C
01019;01;Armix;C
01021;01;Ars-sur-Formans;B2
01022;01;Artemare;C
01023;01;Asnières-sur-Saône;C
01024;01;Attignat;C
01025;01;Bâgé-Dommartin;C
01026;01;Bâgé-le-Châtel;C
01027;01;Balan;B2
01028;01;Baneins;C
01029;01;Beaupont;C
01030;01;Beauregard;B2
01031;01;Bellignat;C
01032;01;Béligneux;B2
01033;01;Valserhône;B1
01034;01;Belley;C
01035;01;Belleydoux;C
01036;01;Valromey-sur-Séran;C
01037;01;Bénonces;C
01038;01;Bény;C
01040;01;Béréziat;C
01041;01;Bettant;C
01042;01;Bey;C
01043;01;Beynost;B1
01044;01;Billiat;C
01045;01;Birieux;C
01046;01;Biziat;C
01047;01;Blyes;B2
01049;01;La Boisse;B1
01050;01;Boissey;C
01051;01;Bolozon;C
01052;01;Bouligneux;C
01053;01;Bourg-en-Bresse;B1
01054;01;Bourg-Saint-Christophe;B1
01056;01;Boyeux-Saint-Jérôme;C
01057;01;Boz;C
01058;01;Brégnier-Cordon;C
01060;01;Brénod;C
01061;01;Brens;C
01062;01;Bressolles;B2
01063;01;Brion;C
01064;01;Briord;C
01065;01;Buellas;C
01066;01;La Burbanche;C
01067;01;Ceignes;C
01068;01;Cerdon;C
01069;01;Certines;C
01071;01;Cessy;Abis
01072;01;Ceyzériat;C
01073;01;Ceyzérieu;C
01074;01;Chalamont;C
01075;01;Chaleins;C
01076;01;Chaley;C
01077;01;Challes-la-Montagne;C
01078;01;Challex;Abis
01079;01;Champagne-en-Valromey;C
01080;01;Champdor-Corcelles;C
01081;01;Champfromier;C
01082;01;Chanay;C
01083;01;Chaneins;C
01084;01;Chanoz-Châtenay;C
01085;01;La Chapelle-du-Châtelard;C
01087;01;Charix;C
01088;01;Charnoz-sur-Ain;C
01089;01;Château-Gaillard;C
01090;01;Châtenay;C
01092;01;Châtillon-la-Palud;C
01093;01;Châtillon-sur-Chalaronne;C
01094;01;Chavannes-sur-Reyssouze;C
01095;01;Nivigne et Suran;C
01096;01;Chaveyriat;C
01098;01;Chazey-Bons;C
01099;01;Chazey-sur-Ain;C
01100;01;Cheignieu-la-Balme;C
01101;01;Chevillard;C
01102;01;Chevroux;C
01103;01;Chevry;Abis
01104;01;Chézery-Forens;B2
01105;01;Civrieux;B1
01106;01;Cize;C
01107;01;Cleyzieu;C
01108;01;Coligny;C
01109;01;Collonges;A
01110;01;Colomieu;C
01111;01;Conand;C
01112;01;Condamine;C
01113;01;Condeissiat;C
01114;01;Confort;B2
01115;01;Confrançon;C
01116;01;Contrevoz;C
01117;01;Conzieu;C
01118;01;Corbonod;C
01121;01;Corlier;C
01123;01;Cormoranche-sur-Saône;C
01124;01;Cormoz;C
01125;01;Corveissiat;C
01127;01;Courmangoux;C
01128;01;Courtes;C
01129;01;Crans;C
01130;01;Bresse Vallons;C
01133;01;Cressin-Rochefort;C
01134;01;Crottet;C
01135;01;Crozet;A
01136;01;Cruzilles-lès-Mépillat;C
01138;01;Culoz-Béon;C
01139;01;Curciat-Dongalon;C
01140;01;Curtafond;C
01141;01;Cuzieu;C
01142;01;Dagneux;B1
01143;01;Divonne-les-Bains;Abis
01145;01;Dompierre-sur-Veyle;C
01146;01;Dompierre-sur-Chalaronne;C
01147;01;Domsure;C
01148;01;Dortan;C
01149;01;Douvres;C
01150;01;Drom;C
01151;01;Druillat;C
01152;01;Échallon;C
01153;01;Échenevex;A
01155;01;Évosges;C
01156;01;Faramans;C
01157;01;Fareins;C
01158;01;Farges;A
01159;01;Feillens;C
01160;01;Ferney-Voltaire;Abis
01162;01;Flaxieu;C
01163;01;Foissiat;C
01165;01;Francheleins;C
01166;01;Frans;B2
01167;01;Garnerans;C
01169;01;Genouilleux;C
01170;01;Béard-Géovreissiat;C
01171;01;Géovreisset;C
01173;01;Gex;Abis
01174;01;Giron;C
01175;01;Gorrevod;C
01177;01;Grand-Corent;C
01179;01;Grièges;C
01180;01;Grilly;Abis
01181;01;Groissiat;C
01183;01;Guéreins;C
01184;01;Hautecourt-Romanèche;C
01185;01;Plateau d'Hauteville;C
